row_nr,label,sentence_lists
218,"[1, 3, 2, 4]","1. One set her foot on the log. 2. In the middle they met horn to horn. 3. The other did likewise. 4. Neither would give way, and so they both fell, to be swept away by the roaring torrent below. "
266,"[2, 1, 3]","1. His eyes were fixed on the stars. 2. One evening he was walking along the open road outside the village. 3. He thought he saw there that the end of the world was at hand, when all at once, down he went into a hole full of mud and water. "
274,"[2, 4, 3, 1]","1. Delighted to find how much lighter his burden had become, the Ass finished the journey very gayly. 2. A Merchant, driving his Ass homeward from the seashore with a heavy load of salt, came to a river crossed by a shallow ford. 3. And when the Merchant at last got him to his feet, much of the salt had melted away. 4. They had crossed this river many times before without accident, but this time the Ass slipped and fell when halfway over. "
299,"[1, 3, 4, 2]","1. A Bear roaming the woods in search of berries happened on a fallen tree in which a swarm of Bees had stored their honey. 2. Guessing what the Bear was after, the Bee flew at him, stung him sharply and then disappeared into the hollow log. 3. The Bear began to nose around the log very carefully to find out if the Bees were at home. 4. Just then one of the swarm came home from the clover field with a load of sweets. "
330,"[1, 3, 2, 4]","1. ""Well sir,"" she said, ""if I must stay awake, I am going to settle right down to enjoy your singing. 2. Please come up and taste this delicious drink with me. 3. Now that I think of it, I have a wonderful wine here, sent me from Olympus, of which I am told Apollo drinks before he sings to the high gods. 4. I know it will make you sing like Apollo himself."" "
335,"[3, 1, 8, 6, 4, 5, 2, 7]","1. A watch’s minute hand moves more quickly than did mine. 2. Now you may think that I drew back—but no. 3. Upon the eighth night I was more than usually cautious in opening the door. 4. To think that there I was, opening the door, little by little, and he not even to dream of my secret deeds or thoughts. 5. I fairly chuckled at the idea; and perhaps he heard me; for he moved on the bed suddenly, as if startled. 6. I could scarcely contain my feelings of triumph. 7. His room was as black as pitch with the thick darkness, (for the shutters were close fastened, through fear of robbers,) and so I knew that he could not see the opening of the door, and I kept pushing it on steadily, steadily. 8. Never before that night had I felt the extent of my own powers—of my sagacity. "
358,"[1, 3, 2]","1. The road, after passing the gate, seemed to lie upon a natural ledge, sloping gradually down along the face of the north-eastern cliffs. 2. In this progress, I took notice that no sight of the out-houses could be obtained. 3. It led me on to the foot of the northern precipice, and thence over the bridge, round by the eastern gable to the front door. "
408,"[4, 1, 6, 2, 3, 5]","1. Men have called me mad; but the question is not yet settled, whether madness is or is not the loftiest intelligence—whether much that is glorious—whether all that is profound—does not spring from disease of thought—from moods of mind exalted at the expense of the general intellect. 2. In their gray visions they obtain glimpses of eternity, and thrill, in awakening, to find that they have been upon the verge of the great secret. 3. In snatches, they learn something of the wisdom which is of good, and more of the mere knowledge which is of evil. 4. I am come of a race noted for vigor of fancy and ardor of passion. 5. They penetrate, however, rudderless or compassless into the vast ocean of the “light ineffable,” and again, like the adventures of the Nubian geographer, “agressi sunt mare tenebrarum, quid in eo esset exploraturi.” 6. They who dream by day are cognizant of many things which escape those who dream only by night. "
423,"[3, 2, 4, 1]","1. It was never opened save for the three periodical egressions and ingressions already mentioned; then, in every creak of its mighty hinges, we found a plenitude of mystery—a world of matter for solemn remark, or for more solemn meditation. 2. It was riveted and studded with iron bolts, and surmounted with jagged iron spikes. 3. At an angle of the ponderous wall frowned a more ponderous gate. 4. What impressions of deep awe did it inspire! "
454,"[9, 3, 6, 8, 2, 5, 7, 4, 1]","1. In this disposition, the dupe who cuts, as customary, at the length of the pack, will invariably find that he cuts his antagonist an honor; while the gambler, cutting at the breadth, will, as certainly, cut nothing for his victim which may count in the records of the game. 2. Most assuredly I had little time given for reflection. 3. In ceasing, he departed at once, and as abruptly as he had entered. 4. In the lining of my sleeve were found all the court cards essential in écarté, and, in the pockets of my wrapper, a number of packs, facsimiles of those used at our sittings, with the single exception that mine were of the species called, technically, arrondees; the honours being slightly convex at the ends, the lower cards slightly convex at the sides. 5. Many hands roughly seized me upon the spot, and lights were immediately reprocured. 6. Can I—shall I describe my sensations? 7. A search ensued. 8. Must I say that I felt all the horrors of the damned? 9. While he spoke, so profound was the stillness that one might have heard a pin drop upon the floor. "
473,"[5, 2, 3, 4, 1]","1. in the dialogue representing the patient, and P. myself. 2. A few passes threw Mr. Vankirk into the mesmeric sleep. 3. His breathing became immediately more easy, and he seemed to suffer no physical uneasiness. 4. The following conversation then ensued:—V. 5. I consented of course to make this experiment. "
481,"[2, 3, 1]","1. For new individualities, matter is necessary. 2. V. Yes. 3. The universal mind is God. "
501,"[3, 7, 2, 6, 4, 1, 5]","1. We have then the primitive arrangement of the earth’s surface adapted to his blissful estate, as not existent but designed. 2. The force of this idea was much weakened, however, by the necessity which it involved of considering the disturbances abnormal and unadapted to any purpose. 3. I repeat that in landscape arrangements alone is the physical nature susceptible of exaltation, and that, therefore, her susceptibility of improvement at this one point, was a mystery I had been unable to solve. 4. He thus explained:—Admit the earthly immortality of man to have been the first intention. 5. The disturbances were the preparations for his subsequently conceived deathful condition. 6. It was Ellison who suggested that they were prognostic of death. 7. My own thoughts on the subject had rested in the idea that the primitive intention of nature would have so arranged the earth’s surface as to have fulfilled at all points man’s sense of perfection in the beautiful, the sublime, or the picturesque; but that this primitive intention had been frustrated by the known geological disturbances—disturbances of form and color—grouping, in the correction or allaying of which lies the soul of art. "
505,"[1, 7, 4, 6, 2, 8, 3, 5, 9]","1. “The author’s observations on the artificial style,” continued Ellison, “are less objectionable. 2. There may be an object in keeping with the principle—an object unattainable by the means ordinarily possessed by individuals, yet which, if attained, would lend a charm to the landscape-garden far surpassing that which a sense of merely human interest could bestow. 3. It will be seen that, in bringing about such result, he secures all the advantages of interest or design, while relieving his work of the harshness or technicality of the worldly art. 4. This is just; as also is the reference to the sense of human interest. 5. In the most rugged of wildernesses—in the most savage of the scenes of pure nature—there is apparent the art of a creator; yet this art is apparent to reflection only; in no respect has it the obvious force of a feeling. 6. The principle expressed is incontrovertible—but there may be something beyond it. 7. A mixture of pure art in a garden scene adds to it a great beauty. 8. A poet, having very unusual pecuniary resources, might, while retaining the necessary idea of art or culture, or, as our author expresses it, of interest, so imbue his designs at once with extent and novelty of beauty, as to convey the sentiment of spiritual interference. 9. Now let us suppose this sense of the Almighty design to be one step depressed—to be brought into something like harmony or consistency with the sense of human art—to form an intermedium between the two:—let us imagine, for example, a landscape whose combined vastness and definitiveness—whose united beauty, magnificence, and strangeness, shall convey the idea of care, or culture, or superintendence, on the part of beings superior, yet akin to humanity—then the sentiment of interest is preserved, while the art intervolved is made to assume the air of an intermediate or secondary nature—a nature which is not God, nor an emanation from God, but which still is nature in the sense of the handiwork of the angels that hover between man and God.” "
563,"[2, 1, 3]","1. He took a pipe and a chair and entered into some ordinary conversation. 2. In about a month afterwards he paid us another visit, and found us occupied very nearly as before. 3. At length I said,— "
618,"[2, 1, 5, 3, 4, 6]","1. For some seconds I dared not open them—while I expected instant destruction, and wondered that I was not already in my death-struggles with the water. 2. “As I felt the sickening sweep of the descent, I had instinctively tightened my hold upon the barrel, and closed my eyes. 3. I still lived. 4. The sense of falling had ceased; and the motion of the vessel seemed much as it had been before, while in the belt of foam, with the exception that she now lay more along. 5. But moment after moment elapsed. 6. I took courage, and looked once again upon the scene. "
621,"[7, 2, 6, 5, 1, 3, 8, 4]","1. I now began to watch, with a strange interest, the numerous things that floated in our company. 2. Both above and below us were visible fragments of vessels, large masses of building timber and trunks of trees, with many smaller articles, such as pieces of house furniture, broken boxes, barrels and staves. 3. I must have been delirious, for I even sought amusement in speculating upon the relative velocities of their several descents toward the foam below. 4. At length, after making several guesses of this nature, and being deceived in all—this fact—the fact of my invariable miscalculation, set me upon a train of reflection that made my limbs again tremble, and my heart beat heavily once more. 5. It appeared to grow upon me as I drew nearer and nearer to my dreadful doom. 6. I have already described the unnatural curiosity which had taken the place of my original terrors. 7. “Looking about me upon the wide waste of liquid ebony on which we were thus borne, I perceived that our boat was not the only object in the embrace of the whirl. 8. ‘This fir tree,’ I found myself at one time saying, ‘will certainly be the next thing that takes the awful plunge and disappears,’—and then I was disappointed to find that the wreck of a Dutch merchant ship overtook it and went down before. "
666,"[1, 3, 2, 5, 4]",1. Down—steadily down it crept. 2. To the right—to the left—far and wide—with the shriek of a damned spirit! 3. I took a frenzied pleasure in contrasting its downward with its lateral velocity. 4. I alternately laughed and howled as the one or the other idea grew predominant. 5. to my heart with the stealthy pace of the tiger! 
669,"[10, 3, 7, 4, 11, 6, 9, 2, 5, 1, 8]","1. Dreading to find my faint, and, as it seemed, my last hope frustrated, I so far elevated my head as to obtain a distinct view of my breast. 2. Was it likely, moreover, that the minions of the torturer had not foreseen and provided for this possibility? 3. For the first time during many hours—or perhaps days—I thought. 4. I was tied by no separate cord. 5. Was it probable that the bandage crossed my bosom in the track of the pendulum? 6. But how fearful, in that case, the proximity of the steel! 7. It now occurred to me that the bandage, or surcingle, which enveloped me, was unique. 8. The surcingle enveloped my limbs and body close in all directions—save in the path of the destroying crescent. 9. The result of the slightest struggle how deadly! 10. I saw that some ten or twelve vibrations would bring the steel in actual contact with my robe, and with this observation there suddenly came over my spirit all the keen, collected calmness of despair. 11. The first stroke of the razorlike crescent athwart any portion of the band, would so detach it that it might be unwound from my person by means of my left hand. "
681,"[5, 6, 1, 7, 2, 4, 3]","1. I was especially fond of animals, and was indulged by my parents with a great variety of pets. 2. This peculiarity of character grew with my growth, and in my manhood, I derived from it one of my principal sources of pleasure. 3. There is something in the unselfish and self-sacrificing love of a brute, which goes directly to the heart of him who has had frequent occasion to test the paltry friendship and gossamer fidelity of mere Man. 4. To those who have cherished an affection for a faithful and sagacious dog, I need hardly be at the trouble of explaining the nature or the intensity of the gratification thus derivable. 5. From my infancy I was noted for the docility and humanity of my disposition. 6. My tenderness of heart was even so conspicuous as to make me the jest of my companions. 7. With these I spent most of my time, and never was so happy as when feeding and caressing them. "
